symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2015-09-22 00:00:00+00:00,113.4,114.18,112.5201,113.38,50346159,26.1948574184,26.3750336863,25.9916047284,26.1902375141,201384636,0.0,1.0
AAPL,2015-09-23 00:00:00+00:00,114.32,114.72,113.3,113.63,35756716,26.4073730165,26.4997711026,26.1717578968,26.2479863179,143026864,0.0,1.0
AAPL,2015-09-24 00:00:00+00:00,115.0,115.5,112.37,113.25,50219475,26.5644497629,26.6799473706,25.9569323466,26.1602081361,200877900,0.0,1.0
AAPL,2015-09-25 00:00:00+00:00,114.71,116.69,114.02,116.44,56151926,26.4974611505,26.9548316768,26.3380744519,26.897082873,224607704,0.0,1.0
AAPL,2015-09-28 00:00:00+00:00,112.44,114.57,112.44,113.85,50782189,25.9731020117,26.4651218203,25.9731020117,26.2988052653,203128756,0.0,1.0
AAPL,2015-09-29 00:00:00+00:00,109.06,113.51,107.86,112.83,73365384,25.1923381838,26.2202668921,24.9151439255,26.0631901456,293461536,0.0,1.0
AAPL,2015-09-30 00:00:00+00:00,109.95,111.54,108.73,110.17,65041596,25.3979239255,25.7652063179,25.1161097628,25.4487428729,260166384,0.0,1.0
AAPL,2015-10-01 00:00:00+00:00,109.58,109.62,107.31,109.07,63929100,25.3124556958,25.3216955044,24.788096557,25.194648136,255716400,0.0,1.0
AAPL,2015-10-02 00:00:00+00:00,110.38,111.0136,107.55,108.01,58019758,25.4972518681,25.6436104365,24.8435354087,24.9497932077,232079032,0.0,1.0
AAPL,2015-10-05 00:00:00+00:00,110.78,111.3698,109.07,109.88,52064743,25.5896499542,25.7258909322,25.194648136,25.3817542604,208258972,0.0,1.0
AAPL,2015-10-06 00:00:00+00:00,111.31,111.74,109.765,110.63,48856977,25.7120774183,25.8114053609,25.3551898107,25.5550006719,195427908,0.0,1.0
AAPL,2015-10-07 00:00:00+00:00,110.78,111.77,109.41,111.74,46765550,25.5896499542,25.8183352174,25.2731865092,25.8114053609,187062200,0.0,1.0
AAPL,2015-10-08 00:00:00+00:00,109.5,110.19,108.21,110.19,61979577,25.2939760786,25.4533627772,24.9959922508,25.4533627772,247918308,0.0,1.0
AAPL,2015-10-09 00:00:00+00:00,112.12,112.28,109.49,110.0,52766140,25.8991835428,25.9361427772,25.2916661264,25.4094736863,211064560,0.0,1.0
AAPL,2015-10-12 00:00:00+00:00,111.6,112.75,111.44,112.73,30467204,25.7790660308,26.0447105284,25.7421067963,26.0400906241,121868816,0.0,1.0
AAPL,2015-10-13 00:00:00+00:00,111.79,112.45,110.68,110.82,33049256,25.8229551217,25.9754119638,25.5665504327,25.5988897628,132197024,0.0,1.0
AAPL,2015-10-14 00:00:00+00:00,110.21,111.52,109.56,111.29,44462449,25.4579826815,25.7605864136,25.3078357915,25.707457514,177849796,0.0,1.0
AAPL,2015-10-15 00:00:00+00:00,111.86,112.1,110.49,110.93,37673452,25.8391247868,25.8945636384,25.5226613418,25.6242992365,150693808,0.0,1.0
AAPL,2015-10-16 00:00:00+00:00,111.04,112.0,110.53,111.78,39232609,25.6497087102,25.8714641169,25.5319011504,25.8206451695,156930436,0.0,1.0
AAPL,2015-10-19 00:00:00+00:00,111.73,111.75,110.11,110.8,29759153,25.8090954088,25.8137153131,25.4348831599,25.5942698585,119036612,0.0,1.0
AAPL,2015-10-20 00:00:00+00:00,113.77,114.17,110.82,111.34,48967763,26.280325648,26.3727237342,25.5988897628,25.7190072748,195871052,0.0,1.0
AAPL,2015-10-21 00:00:00+00:00,113.76,115.58,113.7,114.0,42326974,26.2780156959,26.6984269878,26.264155983,26.3334545476,169307896,0.0,1.0
AAPL,2015-10-22 00:00:00+00:00,115.5,115.5,114.1,114.33,41654089,26.6799473706,26.6799473706,26.3565540691,26.4096829686,166616356,0.0,1.0
AAPL,2015-10-23 00:00:00+00:00,119.08,119.228,116.33,116.7,59366914,27.5069102414,27.5410975333,26.8716733993,26.957141629,237467656,0.0,1.0
AAPL,2015-10-26 00:00:00+00:00,115.28,118.13,114.92,118.08,66333781,26.6291284232,27.2874647869,26.5459701457,27.2759150261,265335124,0.0,1.0
AAPL,2015-10-27 00:00:00+00:00,114.55,116.54,113.99,115.4,69884400,26.460501916,26.9201823945,26.3311445954,26.656847849,279537600,0.0,1.0
AAPL,2015-10-28 00:00:00+00:00,119.27,119.3,116.06,116.93,85551352,27.5507993324,27.5577291888,26.8093046912,27.0102705285,342205408,0.0,1.0
AAPL,2015-10-29 00:00:00+00:00,120.53,120.69,118.27,118.7,51227334,27.8418533037,27.8788125381,27.319804117,27.4191320596,204909336,0.0,1.0
AAPL,2015-10-30 00:00:00+00:00,119.5,121.22,119.45,120.99,49365254,27.6039282319,28.0012400023,27.5923784711,27.9481111027,197461016,0.0,1.0
AAPL,2015-11-02 00:00:00+00:00,121.18,121.36,119.61,119.87,32203267,27.9920001936,28.0335793324,27.6293377056,27.6893964616,128813068,0.0,1.0
AAPL,2015-11-03 00:00:00+00:00,122.57,123.49,120.7,120.79,45518976,28.3130835429,28.5255991411,27.8811224903,27.9019120597,182075904,0.0,1.0
AAPL,2015-11-04 00:00:00+00:00,122.0,123.82,121.62,123.13,44886050,28.1814162702,28.6018275621,28.0936380884,28.4424408635,179544200,0.0,1.0
AAPL,2015-11-05 00:00:00+00:00,120.92,122.69,120.18,121.85,39552680,28.0520589496,28.4626787341,27.8803874013,28.2678083279,158210720,0.52,1.0
AAPL,2015-11-06 00:00:00+00:00,121.06,121.81,120.62,121.11,33042283,28.0845373507,28.2585287848,27.982462376,28.0961367796,132169132,0.0,1.0
AAPL,2015-11-09 00:00:00+00:00,120.57,121.81,120.05,120.96,33871405,27.970862947,28.2585287848,27.8502288861,28.0613384928,135485620,0.0,1.0
AAPL,2015-11-10 00:00:00+00:00,116.77,118.07,116.061,116.9,59127931,27.0893063476,27.3908915,26.9248264452,27.1194648628,236511724,0.0,1.0
AAPL,2015-11-11 00:00:00+00:00,116.11,117.42,115.21,116.37,45217971,26.9361938856,27.2400989238,26.7274041646,26.996510916,180871884,0.0,1.0
AAPL,2015-11-12 00:00:00+00:00,115.72,116.82,115.65,116.26,32525579,26.8457183398,27.1009057765,26.8294791393,26.9709921724,130102316,0.0,1.0
AAPL,2015-11-13 00:00:00+00:00,112.34,115.57,112.27,115.2,45812403,26.0615969434,26.810920053,26.0453577429,26.7250842788,183249612,0.0,1.0
AAPL,2015-11-16 00:00:00+00:00,114.175,114.24,111.0,111.38,38106701,26.4872959856,26.5023752432,25.7507322478,25.8388879078,152426804,0.0,1.0
AAPL,2015-11-17 00:00:00+00:00,113.69,115.05,113.32,114.92,27583101,26.3747815248,26.690285992,26.2889457507,26.6601274768,110332404,0.0,1.0
